"Operation","SourcePath","DestinationPaths","SourceSHA256","Verification"
"move","02 Разведка и моделирование угроз\FOCA.md","02 Разведка и моделирование угроз\03 Метаданные и документы\FOCA.md","087A4497C240F26978B70F7A5020AA59EB761FCA9939313093F96BB9DBD274F7","SHA256 match"
"move","02 Разведка и моделирование угроз\nslookup.md","02 Разведка и моделирование угроз\02 DNS и домены\DNS-записи и nslookup.md","C4DC6CC7536B969D4370B4B6595E98C0F8DCD88619393287F44794D1EC48F7CE","SHA256 match"
"move","02 Разведка и моделирование угроз\определение всей зоны DNS.md","02 Разведка и моделирование угроз\02 DNS и домены\Перенос зоны DNS.md","9B3191234AA98AD4959EA604AE7B07F7BF53CC5E0A2B714EC985E0FDE927EB65","SHA256 match"
"move","02 Разведка и моделирование угроз\GitHub & GitLab поиск по почте.md","02 Разведка и моделирование угроз\04 OSINT по идентификаторам\Поиск email в GitHub и GitLab.md","54E3866E6B515988544E1FB484AC0C96AAD87379A13DE71405827A65C2C889F4","SHA256 match"
"move","02 Разведка и моделирование угроз\GoogleID && YandexID.md","02 Разведка и моделирование угроз\04 OSINT по идентификаторам\Google ID и Yandex ID.md","03CA05AA49DFA9BF38BCAAC17989A95D429BBB750B6889325855BA3092850C0F","SHA256 match"
"move","02 Разведка и моделирование угроз\Поиск по MurMurHash.md","02 Разведка и моделирование угроз\05 Фингерпринтинг\Поиск по MurmurHash.md","734A2AA1C1F8825A91619A5046526C4283C1C27414A70812FFE94D5E809E0F17","SHA256 match"
"move","02 Разведка и моделирование угроз\frameworks\Argus.md","02 Разведка и моделирование угроз\06 Инструменты\Фреймворки\Argus.md","9EC95543D6392FC71F7D052AB36B8C2598F0A74AE5F7B7FFD7225EE01E489BC6","SHA256 match"
"move","02 Разведка и моделирование угроз\frameworks\BBOT.md","02 Разведка и моделирование угроз\06 Инструменты\Фреймворки\BBOT.md","133D0BCAF866FD4B26EBE11423EEE1EDB038D1D7E01216EB009F5B6C56BCD131","SHA256 match"
"move","02 Разведка и моделирование угроз\frameworks\reconFTW.md","02 Разведка и моделирование угроз\06 Инструменты\Фреймворки\reconFTW.md","0E48C6D397DFD340B266DBB4563E4F60751520671F1E59E968B6519D5A6FCA6C","SHA256 match"
"move","02 Разведка и моделирование угроз\frameworks\sn0it.md","02 Разведка и моделирование угроз\06 Инструменты\Фреймворки\sn0int.md","B425FAFDF3CC6839EE0BB04B6741B73C11CCCDC5B9D55073C80FF33A1B97B3BB","SHA256 match"
