"OldPath","NewPath","ReferencingNote","Reason","SHA256"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724172748.png","01 Основы\Linux\assets\Pasted image 20240724172748.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","E0156FE101A0D574962F9732CADA1876E3AFF1253864F90C22310A884A4F953B"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724173046.png","01 Основы\Linux\assets\Pasted image 20240724173046.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","EBCD22FDB79E75E191B9CEAF6C51AD3A078059833BED91F08A93474AA5B1605F"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724173350.png","01 Основы\Linux\assets\Pasted image 20240724173350.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","314210FC5EB59AA687279107677D31AD7ED0A9BDBD4C0B6390BCC9FB29EB359F"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724173846.png","01 Основы\Linux\assets\Pasted image 20240724173846.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","4D85163AC2CE2E27E052A38C570DE264A45F919E5C16D25720A28646FEADE447"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724174131.png","01 Основы\Linux\assets\Pasted image 20240724174131.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","3868A5A4F4CEEC7B76413B736802FCC9541ADE651202DB66FC13B58B7EE43B67"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724175319.png","01 Основы\Linux\assets\Pasted image 20240724175319.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","AF27390F79677E3BF51697C3F0624467CA8131D41C9F8E8C8EDBFC2BC9362891"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724175834.png","01 Основы\Linux\assets\Pasted image 20240724175834.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","94FB8A319725A03102BBF70FCE7547C9A1D6616C3368FC36D2E4F2F268845CC1"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724180159.png","01 Основы\Linux\assets\Pasted image 20240724180159.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","4F3E9027A631F1EA7BA51666A7A139C44E15C02C63F5CD4674C16604A1B8CE05"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724181102.png","01 Основы\Linux\assets\Pasted image 20240724181102.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","59C6FAFD46783AD7FA9123867179342AE523C96EC008E3819BCA32CDD9EDDC35"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724181845.png","01 Основы\Linux\assets\Pasted image 20240724181845.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","CF03C94CD435AA317213286FE5AA77A6532097D59F0DE0CFCD4125CA3ECC7FF6"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724215532.png","01 Основы\Linux\assets\Pasted image 20240724215532.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","6BFA1854EE88545F3F3A96D38A2C57B347A88C8EF18396DE8582283748A59323"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240724222405.png","01 Основы\Linux\assets\Pasted image 20240724222405.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","45BF4C13ED69F7BB71262C7FE865213B9544E58E8F4050A6A22CDE4FE3047C3A"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725151511.png","01 Основы\Linux\assets\Pasted image 20240725151511.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","C22CD039305CDD80E626B445842745D043A8AE350A62E077723FF931910D47D6"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725153114.png","01 Основы\Linux\assets\Pasted image 20240725153114.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","2BFCAA377707AE7A7A928ED2A0808BE03AC37042B5920BCEDAD2645DDF4241F4"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725153250.png","01 Основы\Linux\assets\Pasted image 20240725153250.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","83E9AD8783D2E56603361615EDD7DD73872332677154F6B257AC537BD06E221B"
