"Operation","SourcePath","DestinationPaths","SourceSHA256","Verification"
"split","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\Администрирование Linux.md","01 Основы\Linux\Пользователи, группы и права.md | 01 Основы\Linux\Конфигурация Linux.md | 01 Основы\Linux\Мониторинг Linux.md | 01 Основы\Linux\Журналирование Linux.md | 01 Основы\Linux\Планировщик cron.md | 01 Основы\Linux\Файловые системы Linux.md","3EFA2C83A2EFC95CEBE51AA0EF2667C684132FE7833A64941D4C892A3EECAE17","Exact concatenation match"
"split","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\Передача файлов.md","01 Основы\Linux\Передача файлов\SSH-сервер.md | 01 Основы\Linux\Передача файлов\SFTP.md | 01 Основы\Windows\Передача файлов\WinSCP.md | 01 Основы\Сети\Передача файлов\Samba.md | 01 Основы\Windows\Передача файлов\FileZilla.md","B39AF3EB33E65A06006F502DFFC28665C7761A96807109720DF90D48833B3484","Exact concatenation match"
"split","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\iptables & fail2ban.md","06 Безопасность систем\Защитная настройка\iptables.md | 06 Безопасность систем\Защитная настройка\Fail2ban.md","4AF67FE8938FC8DB2BE054CB602B4D4B4581204E843D9DDA23D7277181C2A2A4","Exact concatenation match"
"split","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\update shell && create server && create connect.md","05 Сетевая безопасность\Атаки в лабораторной среде\Обратные оболочки.md | 10 Справочники\Команды\Временный HTTP-сервер.md | 05 Сетевая безопасность\Атаки в лабораторной среде\Улучшение интерактивной оболочки.md | 05 Сетевая безопасность\Атаки в лабораторной среде\Веб-шеллы.md","8CCF7E254FAD64CAC1A200DCBAE68828D0A273ED7AAFC43D6881E85DADCEB010","Exact concatenation match"
"move","01 Основы\Сети\API.md","04 Безопасность приложений\API\Основы API.md","97236A607D124E9E2EB9C1BF091904E9A7F66BCA8713328B1E9488F7AD50E62D","SHA256 match"
"move","01 Основы\Сети\Сканирование сети - основа.md","03 Оценка защищённости\Сканирование сети\Основы сканирования сети.md","A9FC3C3334AF52653BC3D10C606275BE907E5A06E2904FA67EEFF667E0959F10","SHA256 match"
"move","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\Linux utilits.md","10 Справочники\Команды\Утилиты Linux.md","1E9323194A3F3F76D4CF1B2E7976EB46BACE2C8009185B0B6D735E80E00FA09E","SHA256 match"
"move","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\Работа с сервисами.md","01 Основы\Linux\Управление сервисами systemd.md","05E2D9297728FD3A89D3D9EB08568C30B60F06980C2F41574643E2A5EAC2CCFD","SHA256 match"
"move","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\Web-сервисы.md","01 Основы\Web и HTTP\Веб-серверы Apache и Nginx.md","3F1D68AB1C7439858DD738C3B24A4AE79BF53F5253CBF555F6CEA08A82989CE1","SHA256 match"
"move","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\Docker.md","01 Основы\Контейнеры и инфраструктура\Docker — краткая шпаргалка.md","5B74B1A4AC57E2A2EF461C2F79D64C5F18EECFD9CD6BF299CFFD7A2A15F7A1C6","SHA256 match"
"move","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\shool_21\Simple Docker.md","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","4F54AA61C122464462488602BE48B10198318DF222DA1F15D71AEA16D89CC746","SHA256 match"
"move","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\shool_21\Администрирование Ubuntu Server 20.04 LTS.md","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","D4D9C317FBCF70F49ABA6A08038E4D6E4C8D9FDA3B0C74AF80E1316E97AFF97E","SHA256 match"
"move","01 Основы\Контейнеры и инфраструктура\DevOps и администрирование\shool_21\Linux_Networking.md","01 Основы\Сети\Практикум Linux Networking.md","3129E9EB4B488202A67ABFB6F7FE2D23EF5940A73997A6778C60CBD6D03324AC","SHA256 match"
"move","01 Основы\Сети\Динамическая маршрутизая\Введение.md","01 Основы\Сети\Динамическая маршрутизация.md","A1959F86D6B43DDC571C1ADA365575850D6FCDD2EA5FE10E2CC04A87910B2618","SHA256 match"
"move","01 Основы\Сети\Локальные адреса.md","01 Основы\Сети\IP-адреса и специальные диапазоны.md","58EFBA336B92880ADDCCC989845AF3B07E51102E969D9D4D9FE34FCB7B34C62B","SHA256 match"
"move","01 Основы\Сети\Порты.md","01 Основы\Сети\Транспортные порты.md","3DDE8EFD5C97E670E3D12980EAF0578CEE3797E1398A1D052B628E89D44EE037","SHA256 match"
