"Operation","SourcePath","DestinationPaths","SourceSHA256","Verification"
"move","04 Безопасность приложений\API\Основы API.md","04 Безопасность приложений\06 API\Основы API.md","97236A607D124E9E2EB9C1BF091904E9A7F66BCA8713328B1E9488F7AD50E62D","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\API Testing.md","04 Безопасность приложений\06 API\Тестирование безопасности API.md","F5E4D8F5B20827B04175683BD04BA953737C74310C17D76A53A2FDCDA38BDA80","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\GraphQL.md","04 Безопасность приложений\06 API\Безопасность GraphQL.md","FA3C4DFE0107C730CBCC3E5BB44E849180CE672383A5FE3F25F05C650D4256B3","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\Authentication vulnerabilities.md","04 Безопасность приложений\03 Аутентификация и сессии\Уязвимости аутентификации.md","4A36DC5B3E85B20FAC17B9A4B568A6C0551944D1DA358F8F27AB3BE27A1D9CB2","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\JWT.md","04 Безопасность приложений\03 Аутентификация и сессии\Безопасность JWT.md","8B97ACE02FB632BC8F5262658B19B3525B56C8287D747FF732D85082EA7D6CDD","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\OAuth 2.0.md","04 Безопасность приложений\03 Аутентификация и сессии\OAuth 2.0 и OpenID Connect.md","938022DF2CA5D7DD3CDF7F47617B9913260683E075AD21488D55FFEB8D64ADEA","SHA256 match"
"move","04 Безопасность приложений\Web — клиентская сторона\CSRF.md","04 Безопасность приложений\03 Аутентификация и сессии\CSRF.md","8BDC5D8E116BA312E6C9D0DB87D1BAE37B4CDF3DFA1D8EF212ECF21B213B5D75","SHA256 match"
"move","04 Безопасность приложений\Web — клиентская сторона\Clickjacking (UI redressing).md","04 Безопасность приложений\04 Клиентская безопасность\Clickjacking.md","AE693E96C94556CF9E9BE6C53338785649D12297855FC33F9D91C6DDE2D83B6D","SHA256 match"
"move","04 Безопасность приложений\Web — клиентская сторона\DOM_XSS.md","04 Безопасность приложений\04 Клиентская безопасность\DOM-based XSS.md","6FED9ED32CB64F5B06A9724DE854A9B42E22A859CDD0710488F1E104B662B107","SHA256 match"
"move","04 Безопасность приложений\Web — клиентская сторона\XSS.md","04 Безопасность приложений\04 Клиентская безопасность\XSS — техники и шпаргалки.md","7344821B0E306223EA9B812438951954FE78C81EAFAACA9CA76D5484CDC6C3F4","SHA256 match"
"move","04 Безопасность приложений\Web — клиентская сторона\Cross-origin resource sharing (CORS).md","04 Безопасность приложений\02 Web-платформа\Same-origin policy и CORS.md","5212CDBD7FE4D684A61A29B64333A53321F5C998CB73504832125F2DCDD99931","SHA256 match"
"move","04 Безопасность приложений\Web — клиентская сторона\WebSockets vulnerabilities.md","04 Безопасность приложений\02 Web-платформа\Безопасность WebSocket.md","FAD02C73A33FF04FD3614B090B2B61AB272751C671B7C46B6E7F6FA3C850A830","SHA256 match"
"move","04 Безопасность приложений\Web — клиентская сторона\Web-cach deception.md","04 Безопасность приложений\05 Серверная безопасность\Кэширование\Web cache deception.md","77D252ECB53A82BF38B1746A8649866578EFE60B7435C345349A93BD6BCB7D13","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\File upload.md","04 Безопасность приложений\05 Серверная безопасность\Загрузка файлов.md","B57A0F6F3F214BA67B2F34F84530A4AC4FA0401579635144FD92D1F4608946FD","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\HTTP request smuggling.md","04 Безопасность приложений\05 Серверная безопасность\HTTP request smuggling.md","01BCA541503DBF65C6F3F77BF7F52AA8391DD2EF7602DF7AA8F69A4C242688FD","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\Path Traversal, LFI, RFI.md","04 Безопасность приложений\05 Серверная безопасность\Path traversal и file inclusion.md","686994B9A07360592BB52594218E1CAD68609A647332F8933FDC7B5BCA4C4776","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\Race conditions.md","04 Безопасность приложений\05 Серверная безопасность\Race conditions.md","60DC89EEC83D09D89DB3FAC3618A1F164E6D9CBECA28D8AABAE168339AE401B8","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\SSRF.md","04 Безопасность приложений\05 Серверная безопасность\SSRF.md","489F4D4E1B5CF6030FD8BCAB227B1F716EB03EE92307546EE7AE0C8154915779","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\SSTI.md","04 Безопасность приложений\05 Серверная безопасность\SSTI.md","19E0CCD92CA9069B6238113E10BF5506FEFD97C66EA173A87FA7472E52F5A621","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\Введение в Server-side vulnerabilities.md","04 Безопасность приложений\05 Серверная безопасность\Контроль доступа и command injection — введение.md","2B3DE17F7FB81DE22B3991DE62E7925F49982FAD661CB044CDD7F71D974D2C17","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\SQL\1. Введение в SQL.md","04 Безопасность приложений\07 SQL и NoSQL\01 Основы SQL.md","5D121CD26BE6ED9275742F2D5035EB1744AEA0CE9894342C7DF4422CB63D21E7","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\SQL\2. Введение в SQL injection.md","04 Безопасность приложений\07 SQL и NoSQL\02 Основы SQL injection.md","03671EAF19D179871FA96A3CFCFDCD5E4B966B67881E3F71B991FB953FEB9FA0","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\SQL\3. PortSwigger SQL injection.md","04 Безопасность приложений\07 SQL и NoSQL\03 Практика SQL injection.md","6000E2D80766CA92AACEB7DB5CB4759A44BDB39C51AC2D9FDD49C3A6A3863945","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\SQL\4. PortSwigger NoSQL injection.md","04 Безопасность приложений\07 SQL и NoSQL\04 NoSQL injection.md","C558A5E2A234589B8F37650F7371E5910D562B1232D41D293B5D808C1D27BE2C","SHA256 match"
"move","04 Безопасность приложений\Web — серверная сторона\SQL\5. SQLMap for SQL injections.md","04 Безопасность приложений\07 SQL и NoSQL\05 SQLMap.md","DE53835DC979DD17C6C883E6532098E6654308535AB4725024EF1DB3BD229F19","SHA256 match"
"move","04 Безопасность приложений\Web — обзор.md","10 Справочники\Внешние источники\Web CTF Cheatsheet.md","48CC90919564F77F71BD74B5D3D4B33A5E76B788EE9276DF1D734FBCFDA90888","SHA256 match"
